<<<<<<< HEAD
编号,名称,主,副,组别,魔力值,精力,物攻,防御,魔攻,魔抗,速度,总和,简介
341,南瓜炸弹,恶魔,无,未发现组,0,64,53,54,54,62,47,334,头顶着炸弹的小南瓜，千万别靠近它，不然引爆炸弹。
342,炸弹人,恶魔,无,未发现组,0,74,58,69,73,98,51,423,对它好，它会送你没点着的炸弹。如果欺负它，它会送你一个点燃的炸弹。砰~~~~
343,炸弹头领,恶魔,无,未发现组,0,81,78,86,81,125,89,540,南瓜身体已经完全被毛发包裹，对炸弹已经达到痴迷，随身都要携带炸弹。
344,骨龙,龙,无,未发现组,0,60,72,64,55,50,50,351,它总是对着镜子思考，幻想自己当年活着时的样子。
345,阿基拉,机械,无,未发现组,0,75,100,80,75,70,110,510,全身被机械包裹，行动缓慢。
346,提普斯,萌,无,未发现组,0,55,65,80,65,60,75,400,特别会藏东西。
347,铃铛鬼灵,幽灵,火,未发现组,0,64,41,49,61,51,52,318,出生开始就带着铃铛，心情平和铃铛就不会响。
348,铃铛幽灵,幽灵,火,未发现组,0,65,57,58,99,52,54,385,漂浮在空中，虽然戴着铃铛，但从来不会发出声音。
349,铃铛恶灵,幽灵,火,未发现组,0,78,84,82,126,75,70,515,铃铛和幽暗之火缠绕，噬魂的恐怖恶灵。
350,雪浮灵,幽灵,水,未发现组,0,57,45,59,64,49,51,325,包裹在雪棉云中，很开心的享受着。
351,雪云幽灵,幽灵,水,未发现组,0,69,66,56,87,50,68,396,喜欢做怪怪的动作，还喜欢模仿印度阿三。
352,雪云恶灵,幽灵,水,未发现组,0,75,80,85,113,82,79,514,时常张开手，表情十分凶恶。
353,幽灵刺,幽灵,电,未发现组,0,50,52,41,60,42,47,292,大大的魔法帽遮住身形，看不清它的脸，全身隐藏着暗影刺。
354,幽灵水母,幽灵,电,未发现组,0,79,61,68,86,50,56,400,别被它的眼睛瞧见，会在黑暗中一直跟随着你。
355,幽灵巨魔,幽灵,电,未发现组,0,74,80,70,124,87,84,519,暴虐的幽灵魔王，半月型的眼睛变成圆形时会疯狂杀戮。
356,小罗王,幽灵,无,未发现组,0,52,53,40,75,43,53,316,一直含着奶嘴，当生气拿下奶嘴时非常恐怖哦。
357,符咒走尸,幽灵,无,未发现组,0,78,59,53,91,69,61,411,漂浮着移动，突然出现吓唬人，每天都很开心。
358,跳跳移尸,幽灵,无,未发现组,0,77,84,76,124,87,85,533,碰碰跳跳到处跑，喜欢夜晚出来玩。
359,武斗谋士,幽灵,萌,未发现组,0,51,43,50,60,59,50,313,戴着妈妈送给它的小红帽，足智多谋立志成为大官。
360,武斗尚书,幽灵,萌,未发现组,0,79,54,62,93,65,63,416,手持两把冥界绿扇，挥舞便可以制造死灵气息。
361,武斗宰相,幽灵,萌,未发现组,0,83,74,78,124,72,82,513,冷酷无情的宰相，能够开启生死之门。
362,幽冥灯,幽灵,冰,未发现组,0,63,40,40,64,48,50,305,一圈鬼火围绕，背后点着一只小蜡烛。
363,幽冥眼,幽灵,冰,未发现组,0,79,52,56,88,65,63,403,一圈鬼火环绕，背后点着一只冥灯。
364,幽冥紫灯,幽灵,冰,未发现组,0,79,79,88,125,76,73,520,鬼云环绕，背后点着一只冥界紫灯。
365,水球球,萌,无,未发现组,0,90,80,105,80,105,90,550,三个球球的古怪宠物，喜欢在假日里出现，据说能得到它，会有有很好很好的运气哦。
366,帕尔萨斯,恶魔,无,守护组,5,100,100,100,100,100,100,600,他眼中看到的都是黑白的，他的世界没有色彩，单一的世界却让他有了执著的信念和忠诚的心。
367,鲁米,冰,无,动物组,0,60,40,50,35,50,55,290,冰天雪地里不停的奔跑，因为有人告诉他，只要速度够快，他就可以飞起来。
368,鲁尔,冰,无,动物组,0,80,70,70,60,70,57,407,有一天，他飞起来了，但是没多久掉下来，摔伤了，希望大家要好好照顾他。
369,鲁特,冰,无,动物组,0,95,90,90,80,90,65,510,喜欢雪山的雪花，喜欢雪山的一切，后来，只要看到白色的东西就非常的喜爱。
370,雪豆丁,冰,无,力量组,0,50,50,40,30,30,50,250,小时候脾气暴烈，喜欢很吵闹的环境，总能在人群中发现他。
371,雪蛮人,冰,无,力量组,0,70,80,50,50,60,55,365,非常野蛮，身体也非常的强壮，雪山其他的宠物都有些害怕他。
372,雪巨人,冰,无,力量组,0,90,100,60,85,65,80,480,经常欺负其他的宠物，没有人跟他一起玩，其实他内心非常的孤独。
373,跳跳企鹅,冰,无,动物组,0,45,55,55,45,48,48,296,小的时候不喜欢吃饭，总是沉迷在童话的世界里，世界原来是这么的可爱。
374,冰棒企鹅,冰,无,动物组,0,55,70,72,50,55,60,362,虽然生活的地方很冷，但是他还是喜欢吃冰棒，总有一天他也会变成一个冰棒的。
375,冻鱼企鹅,冰,无,动物组,0,70,88,90,60,70,75,453,在寒冷的海洋中游泳，还可以很快速的抓到海里面的鱼儿，海洋就是他的家。
376,海豹旗手,武,水,未发现组,0,74,65,41,43,43,43,309,不要轻易相信举着旗子的小海豹，他也许不是投降，而是诈降。
377,海豹战士,武,水,未发现组,0,93,85,62,66,61,62,429,吐舌头扮萌的海豹战士，也有他可爱的一面。
378,海豹船长,武,水,未发现组,0,110,105,82,84,80,81,542,只有一只手的海豹船长，请问你是怎么扣腰带的，小洛克你做得到吗？
379,布鲁斯,冰,无,守护组,0,60,60,40,50,55,45,310,小时候触手还很短，总是够不到其他东西，爬来爬去的样子好可爱。
380,雪顶布鲁斯,冰,无,守护组,0,80,85,60,70,68,55,418,长长的触手，让他很轻松的捕获猎物，头顶的雪花的伪装也很棒。
381,冰钻布鲁斯,冰,无,守护组,0,100,100,80,90,77,78,525,开始发现，锋利的冰块可以当做很好的武器，变得更加强大了。
382,梦幻卡洛儿,水,无,未发现组,0,125,115,102,103,98,86,629,圣洁的花环，美丽的长发，让她像夕阳中的新娘，波光里的艳影，留给人们最美好的记忆。
383,啾啾,恶魔,无,未发现组,3,80,80,80,80,80,80,480,每当看到财宝的时候都会发出啾啾的叫声，因此被人们叫做啾啾，在很久以前被当做寻找财宝的宠物。
384,黑影,普通,无,未发现组,0,80,80,80,80,80,80,480,神秘的影子。
385,上古龙王,龙,无,未发现组,0,250,162,220,162,218,195,1207,作为传说一样的存在，他的强大或许是小洛克们究其一生都无法揣测的，据说在世界之初就已经存在了。
386,不倒叮当,土,无,未发现组,0,70,40,62,41,62,42,317,生命是如此艰辛，像黄河一样曲折，如大海一般苦涩，我们是否应坚信自己的信仰，如他一样，永远坚强。
387,长尾叮当,土,无,未发现组,0,90,62,81,58,80,61,432,可以普通，可以平凡，但是不要放弃你的长处，坚持，总会让你有意外的收获。
388,叮当猫,土,无,未发现组,0,110,80,98,82,98,78,546,外表圆滑似球，内心磁石屹立不倒，做人也应似他，于禁忌之处见风骨，于高天之上看春秋。
389,面包嘟嘟,土,无,未发现组,0,50,68,42,51,52,35,298,上长着一个面包，总是吃不到，妈妈说快快长大就可以吃到了。
390,面包猴,土,无,未发现组,0,73,87,60,69,71,56,416,面包就在头顶上，但是为什么抬起头来还是看不到面包呢，好奇怪。
391,面包侠,土,无,未发现组,0,90,110,82,90,88,78,538,终于看到面包了，但是还是吃不到，但是妈妈说可以吃到，谁能告诉我怎么吃嘛？
392,小奶牛,萌,无,未发现组,0,45,58,48,42,55,35,283,横眉冷对千夫指，俯首甘为孺子牛。
393,可爱牛牛,萌,无,未发现组,0,64,75,69,64,75,55,402,耕犁千亩实千箱，力尽筋疲谁复伤？但得众生皆得饱，不辞羸病卧残阳。
394,斑点牛牛,萌,无,未发现组,0,110,122,128,112,125,58,655,斑点越大，责任越大！为了产出更好的牛奶，我努力锻炼了很久才能长成现在的模样！
395,黑暗盖迪,恶魔,无,不死组,0,35,43,44,63,55,34,274,暗黑魔法学院曾经的守护者，其实个头很小，不过藏身在法袍下面，其他人没有发现。
396,独目盖迪,恶魔,无,不死组,0,54,60,64,81,78,55,392,为了保护暗黑魔法学院的秘密，把自己装成很怪的样子，吓唬其他宠物。
397,佝偻盖迪,恶魔,无,不死组,0,72,82,82,98,95,78,507,在没有人的时候偶尔会脱掉外衣，也有着非常漂亮的样子，可惜没有人可以欣赏的到。
398,电精战士,电,无,未发现组,0,55,44,51,59,38,52,299,不要惹我，别以为我只会吓你，你不知道吧，我专精的是电你，电你，电你。
399,电魂骑士,电,无,未发现组,0,73,67,71,79,56,75,421,换了个大号的电锤，电也多了，怕不怕我把你电得魂不附体啊。
400,霹雳领主,电,无,未发现组,0,92,86,88,98,78,96,538,我是宇宙超级无敌霹雳领主，我的领地我做主，谁敢不听？
401,通透鱼,水,无,未发现组,0,125,58,58,76,76,67,460,深海中也会闪闪发亮，无法忽视它的存在。不同于宝石的光芒，是自己的生命萤光。
402,三元兽,水,火,未发现组,0,125,58,58,76,76,67,460,用了一生的时间来思考自己是如何出现在这个世界上的，恐怕永远都得不到答案。
403,龙珠搜寻器,机械,无,未发现组,0,75,75,75,60,60,75,420,长长的机械触手，充能后威力不可小视。
404,鬼眼狂虫,恶魔,无,不死组,0,51,43,40,55,75,42,306,曾经因为长了三只眼睛，而被当做异类赶出了家园，小小的他内心留下了很深的烙痕。
405,耳翎鬼虫,恶魔,无,不死组,0,72,66,62,71,98,61,430,慢慢的长大，第三只眼睛拥有的特殊的力量，让他学会了被诅咒的魔法，拥有了强大的力量和扭曲的心灵。
406,巨魔邪虫,恶魔,无,不死组,0,92,83,85,95,120,80,555,狂妄的回到故乡，所有人都害怕他，却没有人了解他的孤独，明明内心渴望关怀，却总是通过魔法去征服。
407,麋鹿,冰,土,大地组,0,90,100,90,100,90,80,550,轻盈的踏着雪花，飞驰在雪原之上，给人们带来圣诞的祝福。
408,小卡秋莎,恶魔,无,未发现组,0,50,50,50,50,50,50,300,受尽恩佐折磨。
409,卡秋莎,恶魔,龙,未发现组,0,90,90,90,90,110,90,560,受尽恩佐折磨。
410,云翼雀,翼,无,天空组,0,36,40,62,32,43,70,283,小黄雀被人抓进了一个方方正正的盒子里面，里面有很多带着头盔的猪，听说那是他们的敌人。
411,十字雀,翼,无,天空组,0,55,60,84,54,62,92,407,小黄雀加入了部队，开始了他的军旅生涯，可惜岗位不好，是要做人体炸弹。
412,刺顶雀,翼,无,天空组,0,75,81,102,74,82,110,524,带着有长刺的头盔，被发射到猪猪的营地里，然后洛克就有肉肉吃了。
413,幽灵羊,幽灵,无,未发现组,0,40,38,40,68,54,77,317,一直都很孤独，独自在岁月的时光中穿梭，偶尔停留，却无法阻止时间的脚步。
414,蓝羚羊,幽灵,无,未发现组,0,63,60,58,85,72,94,432,多少次含着眼泪，告别一个个身影，告别一个个时代，我也不舍得，可是现在我必须离开你。
415,鬼魅羚羊,幽灵,恶魔,未发现组,5,82,81,80,105,91,113,552,眼泪是假的，悲哀是真的，一千年以后没有你也没有我。
416,斑斑竹,草,无,植物组,0,59,50,55,55,47,42,308,破土凌云节节高，寒驱三九领风骚。不流斑竹多情泪，甘为春山化雪涛。
417,清水竹,草,无,植物组,0,79,72,76,74,66,65,432,一节复一节，千枝攒万叶。我自不开花，免撩蜂与蝶。
418,花脸竹,草,无,植物组,0,99,92,94,96,87,86,554,咬定青山不放松，立根原在破岩中。千磨万击还坚劲，任尔东西南北风。
419,伊贝儿,草,无,未发现组,0,40,42,40,60,58,50,290,小时候经常被人骗，有人逗他说蹦蹦种子是把梳子，他就天天用蹦蹦种子梳头……
420,伊贝粉粉,草,无,未发现组,0,60,62,60,80,78,70,410,爱美的他，后来留起了长长的头发，很长很长，再后来，他的世界就再没了光亮。
421,伊贝坏坏,草,无,未发现组,0,80,82,80,100,98,90,530,为了不再被人欺骗，他装作很坏的样子，但是却从来没有做过一件坏事。
422,幼齿螳螂,武,无,未发现组,0,45,85,39,44,41,45,299,最喜欢的是蝉，最讨厌的是黄雀。
423,利刃螳螂,武,无,未发现组,0,63,103,58,65,59,66,414,非常凶残，有时候为了生存竟会与族人自相残杀。
424,狂暴螳螂,武,无,未发现组,0,80,120,76,86,79,85,526,身躯非常庞大，走路摇摇晃晃，已经很难再飞起来了。
425,呱呱,普通,萌,未发现组,0,60,60,60,60,60,60,360,一直都沉浸在自己的幻想世界里，以为自己可以变成很多身份。
426,少林呱呱,水,武,未发现组,0,90,110,80,90,80,85,535,背着一根棍子，到处去化缘，化缘是为了成为有钱人。
427,富贵呱呱,土,石,未发现组,0,90,95,80,105,80,90,540,很富有的呱呱，但是每天都有很多事情，希望可以脱离这一切，逍遥自在的生活。
428,逍遥呱呱,火,草,未发现组,4,90,90,80,110,80,85,535,每天骑着葫芦在山云间飞翔，却再也找不到小时候那个爱幻想的呱呱。
429,受伤的呱呱,普通,萌,未发现组,0,60,60,60,60,60,60,360,一直都沉浸在自己的幻想世界里，以为自己可以变成很多身份。
430,圣水守护,水,无,未发现组,0,111,150,123,105,108,120,717,无论是云中落下的一滴水，还是湖面中微风吹起的一道涟漪，都有她的身影。
431,小灵灯笼,幽灵,无,未发现组,0,52,48,55,65,42,58,320,总是一个人藏在黑夜里，渴望自己可以像星星一样照耀整个夜晚。
432,幽灵灯笼,幽灵,火,未发现组,0,66,64,70,80,60,72,412,调皮的他经常一个人藏在黑暗中，惊吓路过的宠物，导致很多宠物都不敢夜晚出门。
433,孔明灯,幽灵,火,未发现组,0,78,77,80,100,75,90,500,飞上了天空才发现，原来自己能照亮的还是那么可怜的一点点的范围。
434,叮叮恶魔,恶魔,无,未发现组,0,85,110,85,82,82,120,564,小小的恶魔叮已经长大了，忘记了他曾经也是王国的一员，为了当初许下的诺言，坚定地守护在恩佐身边。
435,龟仙隐者,水,石,未发现组,0,250,150,220,150,220,200,1190,老家伙已经不知道自己的年龄了，总觉得自己经历的太多，好多都记不起来了。
436,黑泥,土,无,未发现组,0,88,80,85,78,75,90,496,未知。
437,朝天蟹,水,无,未发现组,0,45,44,62,55,58,40,304,经常有人笑他横着走路，后来就向前跳着走，经常摔倒。
438,冲冠蟹,水,无,未发现组,0,58,60,85,68,74,55,400,无意中发现自己的钳子很厉害，就经常用钳子欺负其他小动物。
439,怒焰刺蟹,水,土,未发现组,0,80,78,100,85,100,74,517,藏在泥巴里面，当有小鱼游过之后，就会迅速的将鱼捕获。
440,海闪星,水,无,未发现组,0,50,60,70,62,65,55,362,好像是天上的星星掉落到海里一样，在夜晚还会闪光呢！
441,海魔星,水,无,未发现组,0,60,70,78,75,76,58,417,特别喜欢收藏东西，家里放满了他在各地找来的稀奇古怪的宝贝。
442,海霸星,水,无,未发现组,0,80,90,95,88,90,72,515,经常一个人凝望星空，好像在天空的某处有他真正的家。
443,艾莉儿,水,无,精灵组,0,50,58,65,70,62,55,360,无忧无虑的在海洋里生活，每天都是那么的快乐，还特别喜欢自己的一头金发。
444,鱼美人,水,无,精灵组,0,65,75,80,85,77,60,442,好像开始喜欢陆地的生活了，但是自己没有腿，永远都上不了岸。
445,怨念魔鱼,水,无,精灵组,0,78,80,95,105,90,75,523,每个夜晚都在海中的一个礁石上梳理头发，哼唱着一首古老的歌谣。
446,梅花鹿,冰,萌,乖乖组,2.5,70,81,85,80,75,75,466,每当雪花飘飘的冬天，它都会来到这里，度过一个美妙的圣诞节。
447,兔尾绒,虫,无,乖乖组,0,60,75,40,58,68,40,341,背着一个大大的绒球，走到哪里都是他的家。
448,兔球球,虫,无,乖乖组,0,75,100,65,78,90,60,468,像个侠客一样到处流浪，追寻自己想要的孤独和自由。
449,桃花包子球,草,无,未发现组,0,45,52,54,60,65,45,321,小时候，特别能吃，从来没有想过会变胖。
450,桃胖子,草,无,未发现组,0,65,75,77,80,80,63,440,长成一个小胖子，大家都喜欢来逗他玩，开始痛苦的减肥之路。
451,桃花仙,草,无,未发现组,0,80,82,83,90,95,80,510,女大十八变，小桃子长大了，变成了很漂亮的桃花仙子，很招大家的喜欢。
452,清水之妖,水,无,未发现组,0,42,54,50,65,55,50,316,本来是一个水滴，偶然的机会有了灵性，渐渐修炼出实体。
453,清水之精,水,无,未发现组,0,68,75,75,80,70,60,428,水精灵，自然透露的清澈与灵性，吸引了众多的追随者。
454,清水领主,水,无,未发现组,0,82,85,83,95,85,77,507,千年的修炼，化身为水中的王者，浑厚的力量震慑着全部水生的精灵。
455,小糯糯,萌,无,未发现组,0,70,60,58,55,60,50,353,因为长得白白胖胖，所以被妈妈起小名叫糯糯，可以弹来弹去四处玩耍。
456,糯米行者,萌,无,未发现组,0,92,85,72,70,80,70,469,很喜欢功夫，常常一个人偷偷的练习，但是很少有人懂他。
457,功夫糯米,萌,无,未发现组,0,110,100,90,75,85,75,535,功夫修炼成功后，能背更重的行囊去更远的地方了，好开心啊。
458,仙羽,翼,无,未发现组,0,55,50,55,70,60,70,360,本来是上仙的一个羽毛，渐渐幻化为小小的仙鹤，生活的自由快乐。
459,一点红,翼,无,未发现组,0,70,55,70,90,65,85,435,经常被自己水中的倒影迷住，渐渐的爱上了自己。
460,念珠鹤,翼,无,未发现组,0,75,65,80,110,70,90,490,低头，看水，倒影，鲈鱼，谁才是最美。抬头，念佛，虚幻，真实，都无所谓。
461,圈圈海龟,水,石,未发现组,0,60,65,70,58,68,40,361,小海龟眼里的世界就是蓝天，海洋，沙滩，还有爷爷那些稀奇古怪的故事。
462,龟仙人,水,石,未发现组,2.5,90,88,95,78,90,50,491,老家伙已经不知道自己的年龄了，总觉得自己经历的太多，好多都记不起来了。
463,念力兽,幽灵,无,未发现组,0,55,50,48,60,58,50,321,发现自己可以窥视其他人的思想，念力兽总是很邪恶的想要去了解别人。
464,迷魂精,幽灵,无,未发现组,0,62,65,60,78,75,62,402,他从未懂过爱，所有人的思想对他来说都是透明的，他看到的是满目的邪恶。
465,控魂,幽灵,无,未发现组,0,88,85,82,95,92,80,522,受够了对于别人的窥视，他终于决定离开，到一个没有人的地方去，静静地一个人。
466,泪花犬,恶魔,无,未发现组,0,62,53,67,58,62,46,348,平时总喜欢流眼泪，别人以为他是一个胆小的孩子，可是谁也不知道他到底为什么在哭。
467,目光犬,恶魔,无,未发现组,0,82,63,95,66,88,56,450,眼泪流的多了，眼神都是那么的忧郁和清澈，看的人心里特别的舒服，因此又被人称作治愈犬。
468,大神犬,恶魔,无,未发现组,0,98,78,103,76,115,70,540,小时候爱哭的他消失了，现在已经是可以独当一面的大神了，守卫着一方的和平。
469,水跃鱼,水,无,未发现组,0,40,45,44,46,48,50,273,听老人们讲，在遥远的地方有一个龙门，如果能飞身跃过龙门会变的非常强大，从此他有了跃龙门的梦想。
470,刀疤鱼,水,无,未发现组,0,59,62,61,60,58,68,368,从没有忘记儿时的梦想，也从未间断过对于跳跃龙门的尝试，哪怕已经遍体鳞伤。
471,跃龙鱼,水,无,未发现组,0,88,80,85,78,75,90,496,终于跳过了龙门才发现，跃门成龙只是一个美好的传说，为何要舍弃自己做鱼的快乐呢？
472,精魂,幽灵,无,不死组,0,60,63,42,48,55,65,333,竞渡深悲千载冤，忠魂一去讵能还。国亡身殒今何有，只留离骚在世间。
473,不屈战魂,幽灵,无,不死组,0,88,95,63,70,82,85,483,青海长云暗雪山，孤城追望玉门关。黄沙百战穿金甲，不破楼兰终不还。
474,绿芽蛋蛋,普通,无,未发现组,0,44,52,50,40,41,42,269,嫩嫩的绿芽像根针一样，刺破了厚厚的蛋壳，在头顶生长起来，好像把所有的生命都汇聚在这一点绿色上。
475,眩晕蛋蛋,普通,无,未发现组,0,65,73,71,63,62,65,399,生命就像一支舞曲，只有在不停的舞动中才能把他与生俱来的艺术灵感燃烧，让他体验到存在的意义。
476,外套蛋蛋,普通,无,未发现组,0,85,95,93,88,85,80,526,落幕的人生或许惨淡，或许凄凉，但是同样值得我们尊重，或许落幕后的他才是最真实的。
477,流光镜,机械,无,未发现组,0,30,45,48,50,58,37,268,写月无芳桂，照日有花菱。不持光谢水，翻将影学冰。
478,摄魂镜,机械,无,未发现组,0,50,64,62,62,78,55,371,我有一面镜，新磨似秋月。上唯金膏香，下状骊龙窟。等闲不欲开，丑者多不悦。或问几千年，轩辕手中物。
479,八卦镜,机械,无,未发现组,0,75,88,85,73,100,72,493,蜀王将此镜，送死置空山。冥寞怜香骨，提携近玉颜。众妃无复叹，千骑亦虚还。独有伤心石，埋轮月宇间。
480,焚香怪,火,无,未发现组,0,60,85,60,85,60,55,405,有那么一根香，总也烧不完，有那么一根香，头顶伴青烟，有那么一根香……
481,香魂,火,无,未发现组,0,80,100,70,100,70,75,495,一直在燃烧生命，一直如此的虔诚，心中凝聚的是多少人的心愿。
482,小荷,毒,无,未发现组,0,55,70,60,50,51,55,341,小小的荷叶，就是童年全部的回忆，当然还有那个放牛的小洛克。
483,蛇娘子,毒,水,未发现组,0,60,85,75,60,59,60,399,无忧无虑，快乐的逍遥，还有那淡淡的相思，蛇娘子的青春年华是她永远怀念的记忆。
484,还愿蛇仙,毒,水,未发现组,3,78,110,90,72,75,75,500,一千七百年的等待，一千七百年的寻觅，是否就为云外孔桥的撑伞人？
485,邪恶玄武,土,恶魔,未发现组,0,70,75,75,70,55,40,385,上古的神兽，很少有人见过他们出现，如果你遇到了，千万要珍惜。
486,神圣玄武,土,恶魔,未发现组,0,90,120,95,120,80,50,555,集万千宠爱于一身，却对这一切视而不见，始终坚守着自己的信念，忠诚的守卫着上古的秘密。
487,蝶兰花,草,翼,植物组,0,60,55,40,62,68,60,345,手培兰蕊两三栽，日暖风和次第天。坐久不知香在室，推窗时有蝶飞来。
488,盛世花仙,草,翼,植物组,0,75,85,65,95,90,75,485,幽兰花，在空山，美人爱之不可见，裂素写之明窗间。幽兰花，为谁好，露冷风清香自老。
489,灵狐,火,无,乖乖组,0,45,52,48,60,55,60,320,不停的在奔跑，喜欢在速度中追寻生命的意义。
490,九尾狐,火,无,乖乖组,0,60,68,62,77,72,75,414,在无尽的岁月中，拥有永恒的美丽，从不吝啬向世人展示她的容貌。
491,尖嘴狐仙,火,无,乖乖组,0,78,80,79,98,85,95,515,时光流逝，沧海桑田，唯一不变的是灵狐的奔跑，从未止步。
492,可爱鼠,武,无,动物组,0,55,67,60,50,51,77,360,生就一副可爱的面孔，很讨大家的喜欢，小猫咪见了都不忍心伤害他。
493,小灵鼠,武,无,动物组,0,60,82,72,60,59,90,423,寄生在大魔导师家的壁橱里面，偷偷的学会了很多的法术呢，一直自称是大魔导师的徒弟。
494,桃面鼠,武,无,动物组,0,78,90,80,70,65,120,503,法术学的多了，整个宠物的气质都变的不一样了，面如桃花，惹人爱怜。
495,五毒兽,毒,无,乖乖组,0,65,57,65,58,47,66,358,从小就被人关在黑暗中修炼，幼小的心灵留下了无法抹平的伤痕。
496,花楹子,毒,无,乖乖组,0,80,75,85,70,60,82,452,表面笑的很灿烂，其实内心的伤痛谁又能懂，但是他从来都是自己一个人默默的承受着一切的痛苦。
497,失心魔,恶魔,无,未发现组,0,60,52,50,48,47,50,307,没有自己的思想，从来都不懂得思考，别人说什么他都照着去做，经常被人当做傻瓜。
498,嗜心魔,恶魔,无,未发现组,0,80,75,68,59,58,66,406,收集了无数人的思想，但是自己依然不会思考，只能通过仙术控制其他人的思想。
499,噬心魔,恶魔,无,未发现组,0,100,88,82,78,78,80,506,无意中醒悟，没有思想，也没有烦恼，宁愿做一个快乐的傻瓜，天天开心的大声唱歌。
500,四肢雷鸣兽,机械,无,未发现组,0,100,80,80,80,120,80,540,不停的鼓动自己的身躯，发出雷鸣般的声音，想要吓跑敌人。
501,红发流星锤,机械,无,未发现组,0,120,80,80,120,80,80,560,两个大锤子，挥舞起来很是好看，但是好像太短了，打不到敌人。
502,猪身炮火车,机械,无,未发现组,0,140,80,120,80,80,80,580,不要误以为是一头猪，其实有很厉害的机关藏在里面，不小心就被他打伤了。
503,飞翅连击锥,机械,无,未发现组,0,160,120,80,80,80,80,600,这么重的身体，不知道他是怎么飞起来的，而且还能很快速的进行攻击。
504,烈火战神,火,无,未发现组,0,115,110,100,155,115,106,701,在磨练中成长，在烈火中重生，用意志在战斗，用生命在燃烧，永远的火神。
505,风暴战犬,火,无,未发现组,0,116,128,98,110,96,105,653,脖子上的那一簇红，就像是他的标志一样，走到哪里都可以被人认得出来。
506,熊猫秀才,武,无,力量组,0,60,62,50,44,46,60,322,又胖又笨，但是十分讨人喜欢，一直是大家的掌上明珠。
507,功夫熊猫,武,无,力量组,0,75,77,62,55,58,70,397,经常在夏天的夜晚，藏在池塘边的芦苇里，跟着青蛙一起狂欢。
508,狂暴熊猫,武,无,力量组,0,90,100,72,70,68,85,485,胖胖的身体让他有了超强的抗打击能力，就像是一个沙袋一样。
509,线球鼠,石,无,动物组,0,55,40,50,65,62,44,316,天生就是幸运儿，总能心想事成，真是让人羡慕。
510,爪爪鼠,石,无,动物组,0,72,55,62,85,81,60,415,精致的身体和上面柔和的色彩总是让人无法轻易判别它的性格，据说是暴躁的大家伙。
511,慈母鼠,石,无,动物组,2.5,82,68,78,110,98,72,508,因为身体本身就是很好的药材，所以经常被人拿来利用，需要我们好好保护他。
512,青铜审判者,机械,无,未发现组,0,65,60,80,65,60,40,370,他不是规则的制定者，却是最忠诚的执行者，眼中容不下丝毫的瑕疵。
513,白银审判者,机械,无,未发现组,0,80,75,100,80,70,55,460,昂贵的身躯，银光闪闪的外壳，让他吸引了众多的目光，然而他还是如此的冷漠。
514,仲裁弗兰克,机械,无,未发现组,0,100,85,140,98,80,63,566,拥有至高无上的权力，决定了所有人的命运，他是最公正的，也是最无情的。
515,电力宝宝,电,无,未发现组,0,60,50,53,75,50,70,358,是个调皮的小家伙，拥有掌控电力的天赋，喜欢在自己的周围制造电火花。
516,电力小子,电,无,未发现组,0,70,75,73,92,72,90,472,已经拥有非常强大的能力，可以用手中的锤子和叉子制造电流，不过他通常用这个来烤制面包。
517,电子超人,电,无,未发现组,3,80,82,85,120,88,130,585,梦想着成为拯救王国的英雄，受到大家的追捧，不过一直没有遇到需要英雄的年代。
518,幻影,幽灵,无,未发现组,0,140,109,120,126,123,107,725,由克莱尔思念而成的幻影，有特伦斯的影子。
519,黑桃小丑,幽灵,无,未发现组,0,64,38,54,83,47,70,356,他心中有苦，可他说不出，他脸上不能有悲伤，他没有自己的喜怒哀乐，他只能笑，不管心里有多苦有多累。
520,红蓝小丑,幽灵,无,未发现组,0,82,61,75,101,69,89,477,不懂悲伤的小丑，流了泪的眼睛多么喜剧，强笑的容颜不堪一击，眼泪止不住的流，流到嘴边，咽下悲伤。
521,魔法小丑,幽灵,无,未发现组,0,105,82,92,120,88,110,597,这是谁的宿命？双手抓住脚不停的向前，听到人群里的大笑声，我停不下来。原来我们每个人都是个小丑。
522,灵石猴,石,无,未发现组,0,50,55,60,50,52,60,327,从石头中孕育而生，蕴含了天地间的灵气，他日长成之后，必成大器。
523,踏云猴,石,无,未发现组,0,60,75,80,70,72,75,432,每日与云朵相伴，踏云而来，拂袖而去，逍遥自在。
524,大力神,石,武,未发现组,3,90,110,85,80,82,80,527,在炼丹炉中练就了一身硬功夫，无与伦比的大力让他在战斗中常常以武力取胜。
525,火云神,石,火,未发现组,5,100,90,90,120,98,85,583,机缘巧合的学会了控制火焰的本事，内心也如同火焰般的灼热，是个急性子。
526,呆呆蛙,水,无,未发现组,0,49,47,55,50,43,46,290,虽然我叫呆呆蛙，但是我可是未来的勇气之星。
527,麦克蛙,水,无,未发现组,0,69,66,73,71,64,67,410,让我成为了无情的勇者之王，麦克风都让我征服。
528,彩虹蛙,水,无,未发现组,0,88,86,92,89,86,85,526,我是你天边最美的彩虹，请你勇敢把我留下来。
529,暴力猿,火,无,未发现组,0,100,98,103,107,100,99,607,总幻想着自己有一天也可以进化成洛克，并不停的朝这个目标去努力。
530,年兽,龙,无,未发现组,0,80,80,80,80,80,80,480,上古世纪遗留下来的神兽，很少有人能遇到他的真身，他的力量是任何人都无法想象的。
